Language
""
Jupyter Notebook
Smarty
JavaScript
""
Python
PHP
Java
Python
CSS
Java
Java
PowerShell
Java
C#
PHP
Ruby
JavaScript
Python
PHP
Python
Jupyter Notebook
C#
Java
JavaScript
PHP
Ruby
C#
Java
PHP
Python
Ruby
PHP
Kotlin
PHP
Python
C
""
Swift
Python
C++
Python
Go
C
Python
Python
Jupyter Notebook
Python
Python
""
Java
Kotlin
Python
Python
JavaScript
TypeScript
Python
TypeScript
JavaScript
TypeScript
Python
""
Jupyter Notebook
Python
Python
Python
Java
Jupyter Notebook
Python
Python
Java
Objective-C
JavaScript
TypeScript
Java
""
Python
Python
Python
Java
Java
Kotlin
Java
C#
C#
JavaScript
JavaScript
Go
Java
TypeScript
Python
C++
""
Python
Python
Java
C#
HTML
Kotlin
""
PHP
PHP
""
JavaScript
Python
Scala
Python
Python
Python
Python
Python
Python
Java
TypeScript
Swift
Python
TypeScript
TypeScript
Ruby
Python
Python
Python
C
Python
Python
Python
C++
Java
""
Mustache
Java
Python
Swift
JavaScript
Swift
Swift
Swift
Swift
Swift
Swift
Swift
Swift
Swift
Python
Python
Python
JavaScript
Python
TypeScript
TypeScript
Python
Python
JavaScript
Python
Python
Zeek
Zeek
Zeek
Zeek
Zeek
Python
